Element Name,Element Symbol,Average,Standard Deviation
Oxygen,O,425000,37500
Fluorine,F,300,100
Sodium,Na,5500,2000
Magnesium,Mg,5500,2250
Aluminum,Al,55000,22500
Silicon,Si,275000,37500
Phosphorus,P,700,250
Sulfur,S,550,225
Chlorine,Cl,130,40
Potassium,K,20000,7500
Calcium,Ca,25500,12250
Scandium,Sc,20,5
Titanium,Ti,5500,2250
Vanadium,V,80,35
Chromium,Cr,77.5,36.25
Manganese,Mn,1750,625
Iron,Fe,37500,16250
Cobalt,Co,20.5,9.75
Nickel,Ni,51,24.5
Copper,Cu,51,24.5
Zinc,Zn,165,67.5
Gallium,Ga,12.5,6.25
Germanium,Ge,1.05,0.475
Arsenic,As,10.5,4.75
Selenium,Se,1.05,0.475
Bromine,Br,2.5,1.25
Rubidium,Rb,65,17.5
Strontium,Sr,260,75
Yttrium,Y,22.5,8.75
Zirconium,Zr,200,50
Niobium,Nb,16,7
Molybdenum,Mo,1,0.5
Technetium,Tc,0,0.01
Ruthenium,Ru,0,0.01
Rhodium,Rh,0,0.01
Palladium,Pd,0,0.01
Silver,Ag,0.505,0.2475
Cadmium,Cd,0.505,0.2475
Indium,In,0.255,0.1225
Tin,Sn,2.75,1.125
Antimony,Sb,1.025,0.4875
Tellurium,Te,0.505,0.2475
Iodine,I,2.75,1.125
Cesium,Cs,6,3.5
Barium,Ba,700,237.5
Lanthanum,La,27.5,11.25
Cerium,Ce,55,22.5
Praseodymium,Pr,6.5,2.75
Neodymium,Nd,27.5,11.25
Promethium,Pm,0,0.01
Samarium,Sm,5.5,2.25
Europium,Eu,1.6,0.7
Gadolinium,Gd,5.5,2.25
Terbium,Tb,1.05,0.475
Dysprosium,Dy,3,1.335
Holmium,Ho,1.05,0.475
Erbium,Er,2.25,1.125
Thulium,Tm,0.4,0.2
Ytterbium,Yb,2,0.85
Lutetium,Lu,0.525,0.2375
Hafnium,Hf,2.75,1.125
Tantalum,Ta,2.75,1.125
Tungsten,W,2.55,1.225
Rhenium,Re,0,0.01
Osmium,Os,0,0.01
Iridium,Ir,0,0.01
Platinum,Pt,0,0.01
Gold,Au,0.00525,0.002375
Mercury,Hg,0.105,0.0475
Thallium,Tl,0.2,0.05
Lead,Pb,17.5,6.25
Bismuth,Bi,0.505,0.2475
Polonium,Po,0,0.01
Astatine,At,0,0.01
Radium,Ra,0,0.01
Actinium,Ac,0,0.01
Thorium,Pa,0,0.01
Protactinium,Th,7,3
Uranium,U,2.25,1.125