Component,Result,Unit,Det. limit,El. line,Intensity,w/o normal,Analyzing depth(mm)
Gold (Au),0,mass%,0,Au-KA (FA),0,0,0
Silver (Ag),0.0002,mass%,0.00165,Ag-KA (FA),0.001,0.0002,0.3467
Platinum (Pt),0,mass%,0,Pt-KA (FA),0,0,0
Ruthenium (Ru),0,mass%,0.00251,Ru-KA (FA),0,0,0.2444
Rhodium (Rh),0,mass%,0.00211,Rh-KA (FA),0.0048,0,0.2734
Palladium (Pd),0,mass%,0.00209,Pd-KA (FA),0,0,0.3068
Osmium (Os),0,mass%,0,Os-KA (FA),0,0,0
Iridium (Ir),0,mass%,0,Ir-KA (FA),0,0,0
Scandium (Sc),0,mass%,0,Sc-KA (FA),0,0,0
Yttrium (Y),0.0002,mass%,0.00063,Y-KA (FA),0.0385,0.0002,0.1071
Lanthanum (La),0,mass%,0,La-KA (FA),0,0,0
Cerium (Ce),0,mass%,0,Ce-KA (FA),0,0,0
Praseodymium (Pr),0,mass%,0,Pr-KA (FA),0,0,0
Neodymium (Nd),0,mass%,0,Nd-KA (FA),0,0,0
Promethium (Pm),0,mass%,0,Pm-KA (FA),0,0,0
Samarium (Sm),0,mass%,0,Sm-KA (FA),0,0,0
Europium (Eu),0,mass%,0,Eu-KA (FA),0,0,0
Gadolinium (Gd),0,mass%,0,Gd-KA (FA),0,0,0
Terbium (Tb),0,mass%,0,Tb-KA (FA),0,0,0
Dysprosium (Dy),0,mass%,0,Dy-KA (FA),0,0,0
Holmium (Ho),0,mass%,0,Ho-KA (FA),0,0,0
Erbium (Er),0,mass%,0,Er-KA (FA),0,0,0
Thulium (Tm),0,mass%,0,Tm-KA (FA),0,0,0
Ytterbium (Yb),0,mass%,0,Yb-KA (FA),0,0,0
Lutetium (Lu),0,mass%,0,Lu-KA (FA),0,0,0
Lead (Pb),0,mass%,0,Pb-KA (FA),0,0,0
Arsenic (As),0,mass%,0.00092,As-KA (FA),0.2442,0,0.0428
Mercury (Hg),0,mass%,0,Hg-KA (FA),0,0,0
Uranium (U),0,mass%,0,U-KA (FA),0,0,0
Chromium (Cr),15.8755,mass%,0.00308,Cr-KA (FA),667.5,15.8488,0.0423
Cadmium (Cd),0,mass%,0.00208,Cd-KA (FA),0,0,0.3839
Antimony (Sb),0,mass%,0.00327,Sb-KA (FA),0,0,0.5041
Tellurium (Te),0,mass%,0,Te-KA (FA),0,0,0
Thallium (Tl),0,mass%,0,Tl-KA (FA),0,0,0
Thorium (Th),0,mass%,0,Th-KA (FA),0,0,0